fecha1;fecha2
01-08-2020;20200801
02-08-2020;20200802
03-08-2020;20200803
04-08-2020;20200804
05-08-2020;20200805
06-08-2020;20200806
07-08-2020;20200807
08-08-2020;20200808
09-08-2020;20200809
10-08-2020;20200810
11-08-2020;20200811
12-08-2020;20200812
13-08-2020;20200813
14-08-2020;20200814
15-08-2020;20200815
16-08-2020;20200816
17-08-2020;20200817
18-08-2020;20200818
19-08-2020;20200819
20-08-2020;20200820
21-08-2020;20200821
22-08-2020;20200822
23-08-2020;20200823
24-08-2020;20200824
25-08-2020;20200825
26-08-2020;20200826
27-08-2020;20200827
28-08-2020;20200828
29-08-2020;20200829
30-08-2020;20200830
31-08-2020;20200831
01-09-2020;20200901
02-09-2020;20200902
03-09-2020;20200903
04-09-2020;20200904
05-09-2020;20200905
06-09-2020;20200906
07-09-2020;20200907
08-09-2020;20200908
09-09-2020;20200909
10-09-2020;20200910
11-09-2020;20200911
12-09-2020;20200912
13-09-2020;20200913
14-09-2020;20200914
15-09-2020;20200915
16-09-2020;20200916
17-09-2020;20200917
18-09-2020;20200918
19-09-2020;20200919
20-09-2020;20200920
21-09-2020;20200921
22-09-2020;20200922
23-09-2020;20200923
24-09-2020;20200924
25-09-2020;20200925
26-09-2020;20200926
27-09-2020;20200927
28-09-2020;20200928
29-09-2020;20200929
30-09-2020;20200930
01-10-2020;20201001
02-10-2020;20201002
03-10-2020;20201003
04-10-2020;20201004
05-10-2020;20201005
06-10-2020;20201006
07-10-2020;20201007
08-10-2020;20201008
09-10-2020;20201009
10-10-2020;20201010
11-10-2020;20201011
12-10-2020;20201012
13-10-2020;20201013
14-10-2020;20201014
15-10-2020;20201015
16-10-2020;20201016
17-10-2020;20201017
18-10-2020;20201018
19-10-2020;20201019
20-10-2020;20201020
21-10-2020;20201021
22-10-2020;20201022
23-10-2020;20201023
24-10-2020;20201024
25-10-2020;20201025
26-10-2020;20201026
27-10-2020;20201027
28-10-2020;20201028
29-10-2020;20201029
30-10-2020;20201030
31-10-2020;20201031
01-11-2020;20201101
02-11-2020;20201102
03-11-2020;20201103
04-11-2020;20201104
05-11-2020;20201105
06-11-2020;20201106
07-11-2020;20201107
08-11-2020;20201108
09-11-2020;20201109
10-11-2020;20201110
11-11-2020;20201111
12-11-2020;20201112
13-11-2020;20201113
14-11-2020;20201114
15-11-2020;20201115
16-11-2020;20201116
17-11-2020;20201117
18-11-2020;20201118
19-11-2020;20201119
20-11-2020;20201120
21-11-2020;20201121
22-11-2020;20201122
23-11-2020;20201123
24-11-2020;20201124
25-11-2020;20201125
26-11-2020;20201126
27-11-2020;20201127
28-11-2020;20201128
29-11-2020;20201129
30-11-2020;20201130
01-12-2020;20201201
02-12-2020;20201202
03-12-2020;20201203
04-12-2020;20201204
05-12-2020;20201205
06-12-2020;20201206
07-12-2020;20201207
08-12-2020;20201208
09-12-2020;20201209
10-12-2020;20201210
11-12-2020;20201211
12-12-2020;20201212
13-12-2020;20201213
14-12-2020;20201214
15-12-2020;20201215
16-12-2020;20201216
17-12-2020;20201217
18-12-2020;20201218
19-12-2020;20201219
20-12-2020;20201220
21-12-2020;20201221
22-12-2020;20201222
23-12-2020;20201223
24-12-2020;20201224
25-12-2020;20201225
26-12-2020;20201226
27-12-2020;20201227
28-12-2020;20201228
29-12-2020;20201229
30-12-2020;20201230
31-12-2020;20201231
01-01-2021;20210101
02-01-2021;20210102
03-01-2021;20210103
04-01-2021;20210104
05-01-2021;20210105
06-01-2021;20210106
07-01-2021;20210107
08-01-2021;20210108
09-01-2021;20210109
10-01-2021;20210110
11-01-2021;20210111
12-01-2021;20210112
13-01-2021;20210113
14-01-2021;20210114
15-01-2021;20210115
16-01-2021;20210116
17-01-2021;20210117
18-01-2021;20210118
19-01-2021;20210119
20-01-2021;20210120
21-01-2021;20210121
22-01-2021;20210122
23-01-2021;20210123
24-01-2021;20210124
25-01-2021;20210125
26-01-2021;20210126
27-01-2021;20210127
28-01-2021;20210128
29-01-2021;20210129
30-01-2021;20210130
31-01-2021;20210131
01-02-2021;20210201
02-02-2021;20210202
03-02-2021;20210203
04-02-2021;20210204
05-02-2021;20210205
06-02-2021;20210206
07-02-2021;20210207
08-02-2021;20210208
09-02-2021;20210209
10-02-2021;20210210
11-02-2021;20210211
12-02-2021;20210212
13-02-2021;20210213
14-02-2021;20210214
15-02-2021;20210215
16-02-2021;20210216
17-02-2021;20210217
18-02-2021;20210218
19-02-2021;20210219
20-02-2021;20210220
21-02-2021;20210221
22-02-2021;20210222
23-02-2021;20210223
24-02-2021;20210224
25-02-2021;20210225
26-02-2021;20210226
27-02-2021;20210227
28-02-2021;20210228
01-03-2021;20210301
02-03-2021;20210302
03-03-2021;20210303
04-03-2021;20210304
05-03-2021;20210305
06-03-2021;20210306
07-03-2021;20210307
08-03-2021;20210308
09-03-2021;20210309
10-03-2021;20210310
11-03-2021;20210311
12-03-2021;20210312
13-03-2021;20210313
14-03-2021;20210314
15-03-2021;20210315
16-03-2021;20210316
17-03-2021;20210317
18-03-2021;20210318
19-03-2021;20210319
20-03-2021;20210320
21-03-2021;20210321
22-03-2021;20210322
23-03-2021;20210323
24-03-2021;20210324
25-03-2021;20210325
26-03-2021;20210326
27-03-2021;20210327
28-03-2021;20210328
29-03-2021;20210329
30-03-2021;20210330
31-03-2021;20210331
01-04-2021;20210401
02-04-2021;20210402
03-04-2021;20210403
04-04-2021;20210404
05-04-2021;20210405
06-04-2021;20210406
07-04-2021;20210407
08-04-2021;20210408
09-04-2021;20210409
10-04-2021;20210410
11-04-2021;20210411
12-04-2021;20210412
13-04-2021;20210413
14-04-2021;20210414
15-04-2021;20210415
16-04-2021;20210416
17-04-2021;20210417
18-04-2021;20210418
19-04-2021;20210419
20-04-2021;20210420
21-04-2021;20210421
22-04-2021;20210422
23-04-2021;20210423
24-04-2021;20210424
25-04-2021;20210425
26-04-2021;20210426
27-04-2021;20210427
28-04-2021;20210428
29-04-2021;20210429
30-04-2021;20210430
01-05-2021;20210501
02-05-2021;20210502
03-05-2021;20210503
04-05-2021;20210504
05-05-2021;20210505
06-05-2021;20210506
07-05-2021;20210507
08-05-2021;20210508
09-05-2021;20210509
10-05-2021;20210510
11-05-2021;20210511
12-05-2021;20210512
13-05-2021;20210513
14-05-2021;20210514
15-05-2021;20210515
16-05-2021;20210516
17-05-2021;20210517
18-05-2021;20210518
19-05-2021;20210519
20-05-2021;20210520
21-05-2021;20210521
22-05-2021;20210522
23-05-2021;20210523
24-05-2021;20210524
25-05-2021;20210525
26-05-2021;20210526
27-05-2021;20210527
28-05-2021;20210528
29-05-2021;20210529
30-05-2021;20210530
31-05-2021;20210531
01-06-2021;20210601
02-06-2021;20210602
03-06-2021;20210603
04-06-2021;20210604
05-06-2021;20210605
06-06-2021;20210606
07-06-2021;20210607
08-06-2021;20210608
09-06-2021;20210609
10-06-2021;20210610
11-06-2021;20210611
12-06-2021;20210612
13-06-2021;20210613
14-06-2021;20210614
15-06-2021;20210615
16-06-2021;20210616
17-06-2021;20210617
18-06-2021;20210618
19-06-2021;20210619
20-06-2021;20210620
21-06-2021;20210621
22-06-2021;20210622
23-06-2021;20210623
24-06-2021;20210624
25-06-2021;20210625
26-06-2021;20210626
27-06-2021;20210627
28-06-2021;20210628
29-06-2021;20210629
30-06-2021;20210630
01-07-2021;20210701
02-07-2021;20210702
03-07-2021;20210703
04-07-2021;20210704
05-07-2021;20210705
06-07-2021;20210706
07-07-2021;20210707
08-07-2021;20210708
09-07-2021;20210709
10-07-2021;20210710
11-07-2021;20210711
12-07-2021;20210712
13-07-2021;20210713
14-07-2021;20210714
15-07-2021;20210715
16-07-2021;20210716
17-07-2021;20210717
18-07-2021;20210718
19-07-2021;20210719
20-07-2021;20210720
21-07-2021;20210721
22-07-2021;20210722
23-07-2021;20210723
24-07-2021;20210724
25-07-2021;20210725
26-07-2021;20210726
27-07-2021;20210727
28-07-2021;20210728
29-07-2021;20210729
30-07-2021;20210730
31-07-2021;20210731
01-08-2021;20210801
02-08-2021;20210802
03-08-2021;20210803
04-08-2021;20210804
05-08-2021;20210805
06-08-2021;20210806
07-08-2021;20210807
08-08-2021;20210808
09-08-2021;20210809
10-08-2021;20210810
11-08-2021;20210811
12-08-2021;20210812
13-08-2021;20210813
14-08-2021;20210814
15-08-2021;20210815
16-08-2021;20210816
17-08-2021;20210817
18-08-2021;20210818
19-08-2021;20210819
20-08-2021;20210820
21-08-2021;20210821
22-08-2021;20210822
23-08-2021;20210823
24-08-2021;20210824
25-08-2021;20210825
26-08-2021;20210826
27-08-2021;20210827
28-08-2021;20210828
29-08-2021;20210829
30-08-2021;20210830
31-08-2021;20210831
01-09-2021;20210901
02-09-2021;20210902
03-09-2021;20210903
04-09-2021;20210904
05-09-2021;20210905
06-09-2021;20210906
07-09-2021;20210907
08-09-2021;20210908
09-09-2021;20210909
10-09-2021;20210910
11-09-2021;20210911
12-09-2021;20210912
13-09-2021;20210913
14-09-2021;20210914
15-09-2021;20210915
16-09-2021;20210916
17-09-2021;20210917
18-09-2021;20210918
19-09-2021;20210919
20-09-2021;20210920
21-09-2021;20210921
22-09-2021;20210922
23-09-2021;20210923
24-09-2021;20210924
25-09-2021;20210925
26-09-2021;20210926
27-09-2021;20210927
28-09-2021;20210928
29-09-2021;20210929
30-09-2021;20210930
01-10-2021;20211001
02-10-2021;20211002
03-10-2021;20211003
04-10-2021;20211004
05-10-2021;20211005
06-10-2021;20211006
07-10-2021;20211007
08-10-2021;20211008
09-10-2021;20211009
10-10-2021;20211010
11-10-2021;20211011
12-10-2021;20211012
13-10-2021;20211013
14-10-2021;20211014
15-10-2021;20211015
16-10-2021;20211016
17-10-2021;20211017
18-10-2021;20211018
19-10-2021;20211019
20-10-2021;20211020
21-10-2021;20211021
22-10-2021;20211022
23-10-2021;20211023
24-10-2021;20211024
25-10-2021;20211025
26-10-2021;20211026
27-10-2021;20211027
28-10-2021;20211028
29-10-2021;20211029
30-10-2021;20211030
31-10-2021;20211031
01-11-2021;20211101
02-11-2021;20211102
03-11-2021;20211103
04-11-2021;20211104
05-11-2021;20211105
06-11-2021;20211106
07-11-2021;20211107
08-11-2021;20211108
09-11-2021;20211109
10-11-2021;20211110
11-11-2021;20211111
12-11-2021;20211112
13-11-2021;20211113
14-11-2021;20211114
15-11-2021;20211115
16-11-2021;20211116
17-11-2021;20211117
18-11-2021;20211118
19-11-2021;20211119
20-11-2021;20211120
21-11-2021;20211121
22-11-2021;20211122
23-11-2021;20211123
24-11-2021;20211124
25-11-2021;20211125
26-11-2021;20211126
27-11-2021;20211127
28-11-2021;20211128
29-11-2021;20211129
30-11-2021;20211130
01-12-2021;20211201
02-12-2021;20211202
03-12-2021;20211203
04-12-2021;20211204
05-12-2021;20211205
06-12-2021;20211206
07-12-2021;20211207
08-12-2021;20211208
09-12-2021;20211209
10-12-2021;20211210
11-12-2021;20211211
12-12-2021;20211212
13-12-2021;20211213
14-12-2021;20211214
15-12-2021;20211215
16-12-2021;20211216
17-12-2021;20211217
18-12-2021;20211218
19-12-2021;20211219
20-12-2021;20211220
21-12-2021;20211221
22-12-2021;20211222
23-12-2021;20211223
24-12-2021;20211224
25-12-2021;20211225
26-12-2021;20211226
27-12-2021;20211227
28-12-2021;20211228
29-12-2021;20211229
30-12-2021;20211230
31-12-2021;20211231
